Common_name	Country	my_locality2	Serial_number	bams_goat_map	bams_impala_map
Impala	Botswana	Chobe	1933	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/1933.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/1933.bam
Impala	Botswana	Chobe	1960	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/1960.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/1960.bam
Impala	Botswana	Chobe	1988	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/1988.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/1988.bam
Impala	Botswana	Chobe	2040	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/2040.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/2040.bam
Impala	Botswana	Chobe	2041	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/2041.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/2041.bam
Impala	Botswana	Chobe	7825	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/7825.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/7825.bam
Impala	Botswana	Chobe	7830	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/7830.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/7830.bam
Impala	Botswana	Chobe	7695	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/7695.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/7695.bam
Impala	Botswana	Chobe	7829	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/7829.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/7829.bam
Impala	Botswana	Chobe	7826	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/7826.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/7826.bam
Impala	Botswana	Chobe	7827	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/7827.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/7827.bam
Impala	Botswana	Chobe	7828	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/7828.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/7828.bam
Impala	Kenya	Samburu	33	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/33.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/33.bam
